Persoon;aantal;locatie;carriere;Ronde 1;Ronde 2;Ronde 3
1;2;Zwolle;Lang;;9;1
2;2;Rotterdam;Lang;2;;1
3;1;Rotterdam;Kort;2;;8
4;2;Zwolle;Lang;1;;3
5;1;Rotterdam;Kort;2;;10
6;2;Rotterdam;Medior;2;;5
7;1;Zwolle;Lang;5;1;6
8;2;Rotterdam;Kort;;;10
9;1;Zwolle;Medior;1;;5
10;1;Zwolle;Medior;1;;2
11;2;Zwolle;Medior;1;;7
12;2;Zwolle;Lang;5;;1
13;2;Zwolle;Lang;7;;1
14;2;Rotterdam;Medior;;;5
15;2;Rotterdam;Lang;6;;2
16;1;Zwolle;Lang;6;4;6
17;1;Zwolle;Kort;5;;9
18;2;Rotterdam;Kort;;;5
19;2;Rotterdam;Medior;2;;8
20;2;Rotterdam;Lang;;;4
21;2;Zwolle;Lang;6;7;4
22;2;Zwolle;Lang;6;;4
23;2;Zwolle;Medior;5;;3
24;1;Zwolle;Medior;;8;6
25;1;Rotterdam;Medior;;3;6
26;2;Rotterdam;Kort;;3;7
27;2;Zwolle;Lang;1;8;4
28;1;Zwolle;Medior;;7;2
29;2;Zwolle;Medior;;1;1
30;2;Rotterdam;Lang;2;3;2
31;2;Zwolle;Kort;1;;10
32;1;Rotterdam;Medior;7;;4
33;1;Rotterdam;Medior;;3;5
34;1;Rotterdam;Kort;;3;8
35;2;Rotterdam;Medior;;2;3
36;1;Rotterdam;Kort;;;10
37;2;Zwolle;Lang;5;;3
38;2;Zwolle;Medior;;1;7
39;2;Zwolle;Lang;;7;2
40;2;Zwolle;Medior;;9;8
41;2;Zwolle;Medior;;8;7
42;2;Zwolle;Lang;;9;3
43;2;Zwolle;Lang;7;9;6
44;2;Zwolle;Kort;;3;8
45;2;Zwolle;Kort;;1;9
46;1;Zwolle;Kort;;;4
47;2;Zwolle;Medior;;7;6
48;2;Zwolle;Lang;;1;2
49;2;Zwolle;Kort;;8;9
50;2;Zwolle;Kort;;;9
51;1;Zwolle;Medior;;1;9
52;2;Rotterdam;Kort;;;10
